category_name,title,rating,price_gbp
Historical Fiction,A Flight of Arrows (The Pathfinders #2),5,55.53
Historical Fiction,A Spy's Devotion (The Regency Spies of London #1),5,16.97
Historical Fiction,Between Shades of Gray,5,20.79
Historical Fiction,Mrs. Houdini,5,30.25
Historical Fiction,The Passion of Dolssa,5,28.32
Historical Fiction,The Red Tent,5,35.66
Historical Fiction,Voyager (Outlander #3),5,21.07
Historical Fiction,While You Were Mine,5,41.32
Mystery,A Time of Torment (Charlie Parker #14),5,48.35
Mystery,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),5,52.3
